x,y,FRE_PROVINCE_NAME,MAX_TEMPERATURE,DAYS_WITH_VALID_SUNSHINE,LONGITUDE,COOLING_DEGREE_DAYS,BRIGHT_SUNSHINE,LOCAL_YEAR,ID,NORMAL_MEAN_TEMPERATURE,DAYS_WITH_PRECIP_GE_1MM,NORMAL_PRECIPITATION,DAYS_WITH_VALID_MAX_TEMP,MEAN_TEMPERATURE,LOCAL_DATE,TOTAL_SNOWFALL,LOCAL_MONTH,NORMAL_SNOWFALL,DAYS_WITH_VALID_PRECIP,CLIMATE_IDENTIFIER,STATION_NAME,DAYS_WITH_VALID_SNOWFALL,SNOW_ON_GROUND_LAST_DAY,ENG_PROVINCE_NAME,TOTAL_PRECIPITATION,PROVINCE_CODE,DAYS_WITH_VALID_MEAN_TEMP,NORMAL_SUNSHINE,LATITUDE,LAST_UPDATED,DAYS_WITH_VALID_MIN_TEMP,MIN_TEMPERATURE,HEATING_DEGREE_DAYS
-68.15,49.21666666666667,QUÉBEC,3.9,,-68.150,0,,1959,5663.1959.12,,4,,30,-12.76,1959-12,13.5,12,,30,7040445,BAIE COMEAU CBA,30,,QUEBEC,35.8,QC,5,,49.217,2014-07-31 11:52:35,5,-17.8,153.8
-68.15,49.21666666666667,QUÉBEC,2.2,,-68.150,0,,1960,5663.1960.1,,5,,28,-16.216666666666665,1960-01,36.8,1,,31,7040445,BAIE COMEAU CBA,31,,QUEBEC,36.8,QC,6,,49.217,2014-07-31 11:52:35,6,-30.6,205.3
-68.15,49.21666666666667,QUÉBEC,2.2,,-68.150,,,1960,5663.1960.2,,9,,28,,1960-02,144.8,2,,29,7040445,BAIE COMEAU CBA,29,,QUEBEC,144.8,QC,0,,49.217,2014-07-31 11:52:35,0,,
-68.15,49.21666666666667,QUÉBEC,2.2,,-68.150,,,1960,5663.1960.3,,2,,31,,1960-03,26.7,3,,31,7040445,BAIE COMEAU CBA,31,,QUEBEC,26.7,QC,0,,49.217,2014-07-31 11:52:35,0,,
-68.15,49.21666666666667,QUÉBEC,11.7,,-68.150,,,1960,5663.1960.4,,4,,29,,1960-04,10.1,4,,30,7040445,BAIE COMEAU CBA,30,,QUEBEC,41.9,QC,0,,49.217,2014-07-31 11:52:35,0,,
-68.15,49.21666666666667,QUÉBEC,26.7,,-68.150,0.4,,1960,5663.1960.5,,7,,30,8.8,1960-05,0,5,,31,7040445,BAIE COMEAU CBA,31,,QUEBEC,87.9,QC,22,,49.217,2014-07-31 11:52:35,23,-3.9,202.8
-68.15,49.21666666666667,QUÉBEC,29.4,,-68.150,8,,1960,5663.1960.6,,7,,30,14.696153846153846,1960-06,0,6,,29,7040445,BAIE COMEAU CBA,30,,QUEBEC,86.5,QC,26,,49.217,2014-07-31 11:52:35,26,2.8,93.9
-68.15,49.21666666666667,QUÉBEC,26.7,,-68.150,4.6,,1960,5663.1960.7,,2,,28,15.534782608695652,1960-07,0,7,,4,7040445,BAIE COMEAU CBA,31,,QUEBEC,21.5,QC,23,,49.217,2014-07-31 11:52:35,25,3.3,61.3
-68.15,49.21666666666667,QUÉBEC,28.3,,-68.150,2.6,,1960,5663.1960.8,,8,,30,15.23076923076923,1960-08,0,8,,31,7040445,BAIE COMEAU CBA,31,,QUEBEC,92.2,QC,26,,49.217,2014-07-31 11:52:35,27,4.4,74.6
-68.15,49.21666666666667,QUÉBEC,24.4,,-68.150,0,,1960,5663.1960.9,,6,,29,11.112,1960-09,0,9,,30,7040445,BAIE COMEAU CBA,30,,QUEBEC,87.6,QC,25,,49.217,2014-07-31 11:52:35,25,0.6,172.2
-68.15,49.21666666666667,QUÉBEC,12.8,,-68.150,0,,1960,5663.1960.10,,11,,30,3.68,1960-10,0,10,,31,7040445,BAIE COMEAU CBA,31,,QUEBEC,84.4,QC,25,,49.217,2014-07-31 11:52:35,25,-5.6,358
-68.15,49.21666666666667,QUÉBEC,10,,-68.150,0,,1960,5663.1960.11,,10,,30,-0.4230769230769231,1960-11,39.5,11,,30,7040445,BAIE COMEAU CBA,30,,QUEBEC,114.1,QC,26,,49.217,2014-07-31 11:52:35,26,-12.2,479
-68.15,49.21666666666667,QUÉBEC,6.7,,-68.150,0,,1960,5663.1960.12,,6,,29,-10.488,1960-12,42.4,12,,31,7040445,BAIE COMEAU CBA,31,,QUEBEC,101.3,QC,25,,49.217,2014-07-31 11:52:35,26,-27.2,712.2
-68.15,49.21666666666667,QUÉBEC,-3.9,,-68.150,0,,1961,5663.1961.1,,4,,24,-16.857142857142858,1961-01,38.7,1,,31,7040445,BAIE COMEAU CBA,31,,QUEBEC,38.7,QC,21,,49.217,2014-07-31 11:52:35,25,-33.3,732
-68.15,49.21666666666667,QUÉBEC,0,,-68.150,0,,1961,5663.1961.2,,,,24,-11.865,1961-02,,2,,0,7040445,BAIE COMEAU CBA,0,,QUEBEC,,QC,20,,49.217,2014-07-31 11:52:35,24,-29.4,597.3
-68.15,49.21666666666667,QUÉBEC,26.7,,-68.150,,,1961,5663.1961.6,,9,,27,,1961-06,0,6,,28,7040445,BAIE COMEAU CBA,30,,QUEBEC,133.9,QC,0,,49.217,2014-07-31 11:52:35,0,,
-68.15,49.21666666666667,QUÉBEC,12.8,,-68.150,0,,1961,5663.1961.11,,5,,26,1.76,1961-11,1.3,11,,30,7040445,BAIE COMEAU CBA,30,,QUEBEC,52.9,QC,20,,49.217,2014-07-31 11:52:35,23,-10,324.8
-68.15,49.21666666666667,QUÉBEC,5.6,,-68.150,0,,1961,5663.1961.12,,6,,22,-5.515789473684211,1961-12,49.5,12,,31,7040445,BAIE COMEAU CBA,31,,QUEBEC,89.1,QC,19,,49.217,2014-07-31 11:52:35,24,-22.2,446.8
-68.15,49.21666666666667,QUÉBEC,,,-68.150,,,1962,5663.1962.1,,9,,0,,1962-01,67.4,1,,31,7040445,BAIE COMEAU CBA,31,,QUEBEC,102,QC,0,,49.217,2014-07-31 11:52:35,23,-42.2,
-68.15,49.21666666666667,QUÉBEC,-1.1,,-68.150,0,,1962,5663.1962.2,,5,,24,-17.335,1962-02,37.8,2,,28,7040445,BAIE COMEAU CBA,28,,QUEBEC,37.8,QC,20,,49.217,2014-07-31 11:52:35,23,-40,706.7
-68.15,49.21666666666667,QUÉBEC,12.2,,-68.150,0,,1962,5663.1962.3,,1,,25,-1.2294117647058824,1962-03,3.8,3,,31,7040445,BAIE COMEAU CBA,31,,QUEBEC,3.8,QC,17,,49.217,2014-07-31 11:52:35,20,-23.3,326.9
-68.15,49.21666666666667,QUÉBEC,11.1,,-68.150,0,,1962,5663.1962.4,,8,,25,2.11,1962-04,30.5,4,,30,7040445,BAIE COMEAU CBA,30,,QUEBEC,103.4,QC,20,,49.217,2014-07-31 11:52:35,24,-8.3,317.8
-68.15,49.21666666666667,QUÉBEC,23.9,,-68.150,0,,1962,5663.1962.5,,8,,28,7.729166666666667,1962-05,0,5,,31,7040445,BAIE COMEAU CBA,31,,QUEBEC,79,QC,24,,49.217,2014-07-31 11:52:35,26,-3.3,246.5
-68.15,49.21666666666667,QUÉBEC,28.3,,-68.150,8.9,,1962,5663.1962.6,,7,,25,15.635,1962-06,0,6,,28,7040445,BAIE COMEAU CBA,30,,QUEBEC,125.7,QC,20,,49.217,2014-07-31 11:52:35,24,4.4,56.2
-68.15,49.21666666666667,QUÉBEC,29.4,,-68.150,6.5,,1962,5663.1962.8,,4,,26,16.645833333333332,1962-08,0,8,,31,7040445,BAIE COMEAU CBA,31,,QUEBEC,27.1,QC,24,,49.217,2014-07-31 11:52:35,27,7.2,39
-68.15,49.21666666666667,QUÉBEC,,,-68.150,,,1962,5663.1962.9,,8,,0,,1962-09,0,9,,30,7040445,BAIE COMEAU CBA,30,,QUEBEC,112.1,QC,0,,49.217,2014-07-31 11:52:35,0,,
-68.15,49.21666666666667,QUÉBEC,6.7,,-68.150,0,,1962,5663.1962.11,,,,27,-1.15,1962-11,,11,,0,7040445,BAIE COMEAU CBA,0,,QUEBEC,,QC,24,,49.217,2014-07-31 11:52:35,26,-11.7,459.6
-68.15,49.21666666666667,QUÉBEC,8.3,,-68.150,0,,1963,5663.1963.1,,,,30,-13.044,1963-01,,1,,0,7040445,BAIE COMEAU CBA,0,,QUEBEC,,QC,25,,49.217,2014-07-31 11:52:35,26,-33.3,776.1
-68.15,49.21666666666667,QUÉBEC,-2.8,,-68.150,0,,1963,5663.1963.2,,5,,23,-14.536842105263158,1963-02,47.9,2,,28,7040445,BAIE COMEAU CBA,28,,QUEBEC,47.9,QC,19,,49.217,2014-07-31 11:52:35,24,-33.3,618.2
-68.15,49.21666666666667,QUÉBEC,8.3,,-68.150,0,,1963,5663.1963.3,,8,,28,-7.329166666666667,1963-03,43.7,3,,31,7040445,BAIE COMEAU CBA,31,,QUEBEC,55.9,QC,24,,49.217,2014-07-31 11:52:35,27,-26.7,607.9
-68.15,49.21666666666667,QUÉBEC,14.4,,-68.150,0,,1963,5663.1963.4,,5,,28,1.9833333333333334,1963-04,13.2,4,,30,7040445,BAIE COMEAU CBA,30,,QUEBEC,56.2,QC,24,,49.217,2014-07-31 11:52:35,25,-15,384.4
-68.15,49.21666666666667,QUÉBEC,27.2,,-68.150,0,,1963,5663.1963.5,,10,,29,8.192,1963-05,6.3,5,,31,7040445,BAIE COMEAU CBA,31,,QUEBEC,84.4,QC,25,,49.217,2014-07-31 11:52:35,27,-5.6,245.2
-68.15,49.21666666666667,QUÉBEC,26.1,,-68.150,0,,1963,5663.1963.6,,7,,22,14.48,1963-06,0,6,,30,7040445,BAIE COMEAU CBA,30,,QUEBEC,77.2,QC,20,,49.217,2014-07-31 11:52:35,23,2.8,70.4
-68.15,49.21666666666667,QUÉBEC,31.7,,-68.150,24.4,,1963,5663.1963.7,,10,,23,17.215,1963-07,0,7,,29,7040445,BAIE COMEAU CBA,31,,QUEBEC,113.1,QC,20,,49.217,2014-07-31 11:52:35,24,5,40.1
-68.15,49.21666666666667,QUÉBEC,,,-68.150,,,1963,5663.1963.8,,9,,0,,1963-08,0,8,,31,7040445,BAIE COMEAU CBA,31,,QUEBEC,65.6,QC,0,,49.217,2014-07-31 11:52:35,0,,
-68.15,49.21666666666667,QUÉBEC,22.8,,-68.150,0,,1963,5663.1963.9,,8,,25,9.681818181818182,1963-09,0,9,,30,7040445,BAIE COMEAU CBA,30,,QUEBEC,67.5,QC,22,,49.217,2014-07-31 11:52:35,24,0,183
-68.15,49.21666666666667,QUÉBEC,21.1,,-68.150,0,,1963,5663.1963.10,,8,,23,7.556521739130435,1963-10,8.9,10,,31,7040445,BAIE COMEAU CBA,31,,QUEBEC,100.6,QC,23,,49.217,2014-07-31 11:52:35,25,-3.3,240.2
-68.15,49.21666666666667,QUÉBEC,10.6,,-68.150,0,,1963,5663.1963.11,,10,,29,1.5076923076923077,1963-11,12.1,11,,30,7040445,BAIE COMEAU CBA,30,,QUEBEC,118.3,QC,26,,49.217,2014-07-31 11:52:35,26,-9.4,428.8
-68.15,49.21666666666667,QUÉBEC,3.3,,-68.150,0,,1963,5663.1963.12,,2,,31,-12.441935483870967,1963-12,17.8,12,,31,7040445,BAIE COMEAU CBA,31,,QUEBEC,17.8,QC,31,,49.217,2014-07-31 11:52:35,31,-27.2,943.7
-68.15,49.21666666666667,QUÉBEC,2.2,,-68.150,0,,1964,5663.1964.1,,9,,31,-11.293548387096774,1964-01,72.5,1,,28,7040445,BAIE COMEAU CBA,28,,QUEBEC,72.5,QC,31,,49.217,2014-07-31 11:52:35,31,-24.4,908.1
-68.15,49.21666666666667,QUÉBEC,3.9,,-68.150,0,,1964,5663.1964.2,,5,,29,-8.827586206896552,1964-02,18.1,2,,29,7040445,BAIE COMEAU CBA,29,,QUEBEC,18.1,QC,29,,49.217,2014-07-31 11:52:35,29,-25,778
-68.15,49.21666666666667,QUÉBEC,7.8,,-68.150,0,,1964,5663.1964.3,,,,31,-5.996774193548387,1964-03,,3,,0,7040445,BAIE COMEAU CBA,0,,QUEBEC,,QC,31,,49.217,2014-07-31 11:52:35,31,-18.3,743.9
-68.15,49.21666666666667,QUÉBEC,18.9,,-68.150,0,,1964,5663.1964.4,,4,,29,3.079310344827586,1964-04,17.3,4,,30,7040445,BAIE COMEAU CBA,30,,QUEBEC,39.1,QC,29,,49.217,2014-07-31 11:52:35,29,-15,432.7
-68.15,49.21666666666667,QUÉBEC,27.2,,-68.150,0,,1964,5663.1964.5,,13,,29,8.679310344827586,1964-05,0,5,,31,7040445,BAIE COMEAU CBA,31,,QUEBEC,142.2,QC,29,,49.217,2014-07-31 11:52:35,30,0.6,270.3
-68.15,49.21666666666667,QUÉBEC,29.4,,-68.150,4,,1964,5663.1964.6,,15,,30,13.42,1964-06,0,6,,29,7040445,BAIE COMEAU CBA,30,,QUEBEC,133.5,QC,30,,49.217,2014-07-31 11:52:35,30,1.1,141.4
-68.15,49.21666666666667,QUÉBEC,28.9,,-68.150,15,,1964,5663.1964.7,,11,,30,16.756666666666668,1964-07,0,7,,29,7040445,BAIE COMEAU CBA,31,,QUEBEC,67,QC,30,,49.217,2014-07-31 11:52:35,30,8.9,52.3
-68.15,49.21666666666667,QUÉBEC,25.6,,-68.150,0.1,,1964,5663.1964.8,,16,,30,14.506666666666666,1964-08,0,8,,31,7040445,BAIE COMEAU CBA,31,,QUEBEC,142.8,QC,30,,49.217,2014-07-31 11:52:35,31,4.4,104.9
-68.15,49.21666666666667,QUÉBEC,22.2,,-68.150,0,,1964,5663.1964.9,,6,,28,10.271428571428572,1964-09,0,9,,30,7040445,BAIE COMEAU CBA,30,,QUEBEC,55,QC,28,,49.217,2014-07-31 11:52:35,30,-2.8,216.4
-68.15,49.21666666666667,QUÉBEC,15.6,,-68.150,0,,1964,5663.1964.10,,8,,28,3.3444444444444446,1964-10,11.4,10,,30,7040445,BAIE COMEAU CBA,31,,QUEBEC,59.5,QC,27,,49.217,2014-07-31 11:52:35,30,-3.9,395.7
-68.15,49.21666666666667,QUÉBEC,10,,-68.150,0,,1964,5663.1964.11,,6,,28,-2.140740740740741,1964-11,43.9,11,,27,7040445,BAIE COMEAU CBA,27,,QUEBEC,108.9,QC,27,,49.217,2014-07-31 11:52:35,28,-20.6,543.8
-68.15,49.21666666666667,QUÉBEC,7.2,,-68.150,0,,1964,5663.1964.12,,11,,30,-9.6,1964-12,52.5,12,,31,7040445,BAIE COMEAU CBA,31,,QUEBEC,92.9,QC,29,,49.217,2014-07-31 11:52:35,30,-28.3,800.4
-68.15,49.21666666666667,QUÉBEC,3.3,,-68.150,0,,1965,5663.1965.1,,5,,29,-13.86896551724138,1965-01,45.6,1,,29,7040445,BAIE COMEAU CBA,29,,QUEBEC,45.6,QC,29,,49.217,2014-07-31 11:52:35,30,-32.8,924.2
-68.15,49.21666666666667,QUÉBEC,3.3,,-68.150,0,,1965,5663.1965.2,,11,,22,-12.233333333333333,1965-02,86.6,2,,28,7040445,BAIE COMEAU CBA,28,,QUEBEC,108.5,QC,21,,49.217,2014-07-31 11:52:35,22,-25.6,634.9
-68.15,49.21666666666667,QUÉBEC,10,,-68.150,0,,1965,5663.1965.3,,1,,31,-4.487096774193549,1965-03,14,3,,31,7040445,BAIE COMEAU CBA,31,,QUEBEC,14,QC,31,,49.217,2014-07-31 11:52:35,31,-20.6,697.1
-68.15,49.21666666666667,QUÉBEC,11.1,,-68.150,0,,1965,5663.1965.4,,3,,30,1.19,1965-04,0,4,,30,7040445,BAIE COMEAU CBA,30,,QUEBEC,31.8,QC,30,,49.217,2014-07-31 11:52:35,30,-16.1,504.3
-68.15,49.21666666666667,QUÉBEC,22.2,,-68.150,0,,1965,5663.1965.5,,9,,30,7.216666666666667,1965-05,0,5,,30,7040445,BAIE COMEAU CBA,31,,QUEBEC,77.1,QC,30,,49.217,2014-07-31 11:52:35,31,-3.9,323.5
-68.15,49.21666666666667,QUÉBEC,28.9,,-68.150,7.3,,1965,5663.1965.6,,5,,28,13.767857142857142,1965-06,0,6,,28,7040445,BAIE COMEAU CBA,30,,QUEBEC,47.7,QC,28,,49.217,2014-07-31 11:52:35,29,0.6,125.8
-68.15,49.21666666666667,QUÉBEC,27.2,,-68.150,0.2,,1965,5663.1965.7,,12,,30,14.143333333333333,1965-07,0,7,,31,7040445,BAIE COMEAU CBA,31,,QUEBEC,82.3,QC,30,,49.217,2014-07-31 11:52:35,31,5,115.9
-68.15,49.21666666666667,QUÉBEC,31.1,,-68.150,13.3,,1965,5663.1965.8,,7,,31,14.19032258064516,1965-08,0,8,,28,7040445,BAIE COMEAU CBA,31,,QUEBEC,154.5,QC,31,,49.217,2014-07-31 11:52:35,31,2.2,131.4
-68.15,49.21666666666667,QUÉBEC,22.2,,-68.150,0,,1965,5663.1965.9,,14,,29,10.10344827586207,1965-09,0,9,,30,7040445,BAIE COMEAU CBA,30,,QUEBEC,131.1,QC,29,,49.217,2014-07-31 11:52:35,29,0,229
-68.15,49.21666666666667,QUÉBEC,15.6,,-68.150,0,,1965,5663.1965.10,,14,,26,3.6739130434782608,1965-10,12.7,10,,31,7040445,BAIE COMEAU CBA,31,,QUEBEC,122.7,QC,23,,49.217,2014-07-31 11:52:35,26,-6.7,329.5
-68.15,49.21666666666667,QUÉBEC,5,,-68.150,0,,1965,5663.1965.11,,9,,30,-4.743333333333333,1965-11,61.9,11,,30,7040445,BAIE COMEAU CBA,30,,QUEBEC,110.4,QC,30,,49.217,2014-07-31 11:52:35,30,-13.3,682.3
-68.15,49.21666666666667,QUÉBEC,2.8,,-68.150,0,,1965,5663.1965.12,,6,,31,-8.987096774193548,1965-12,49,12,,29,7040445,BAIE COMEAU CBA,29,,QUEBEC,49,QC,31,,49.217,2014-07-31 11:52:35,31,-24.4,836.6
-68.15,49.21666666666667,QUÉBEC,7.2,,-68.150,0,,1966,5663.1966.1,,8,,30,-7.613333333333333,1966-01,87.6,1,,29,7040445,BAIE COMEAU CBA,29,,QUEBEC,91.1,QC,30,,49.217,2014-07-31 11:52:35,30,-22.2,768.4
-68.15,49.21666666666667,QUÉBEC,6.7,,-68.150,0,,1966,5663.1966.2,,4,,28,-8.282142857142857,1966-02,19.9,2,,27,7040445,BAIE COMEAU CBA,27,,QUEBEC,29.3,QC,28,,49.217,2014-07-31 11:52:35,28,-30,735.9
-68.15,49.21666666666667,QUÉBEC,7.2,,-68.150,0,,1966,5663.1966.3,,11,,31,-2.390322580645161,1966-03,71.2,3,,31,7040445,BAIE COMEAU CBA,31,,QUEBEC,110.8,QC,31,,49.217,2014-07-31 11:52:35,31,-16.1,632.1
-68.15,49.21666666666667,QUÉBEC,12.8,,-68.150,0,,1966,5663.1966.4,,4,,30,1.5034482758620689,1966-04,3.8,4,,26,7040445,BAIE COMEAU CBA,30,,QUEBEC,16.5,QC,29,,49.217,2014-07-31 11:52:35,29,-8.9,478.4
-68.15,49.21666666666667,QUÉBEC,25,,-68.150,0,,1966,5663.1966.5,,7,,29,8.021428571428572,1966-05,1.3,5,,31,7040445,BAIE COMEAU CBA,31,,QUEBEC,59.8,QC,28,,49.217,2014-07-31 11:52:35,30,-6.7,279.4
-68.15,49.21666666666667,QUÉBEC,29.4,,-68.150,7.4,,1966,5663.1966.6,,6,,30,14.406896551724138,1966-06,0,6,,30,7040445,BAIE COMEAU CBA,30,,QUEBEC,53.1,QC,29,,49.217,2014-07-31 11:52:35,29,2.8,111.6
-68.15,49.21666666666667,QUÉBEC,26.1,,-68.150,4.9,,1966,5663.1966.7,,11,,28,16.84642857142857,1966-07,0,7,,30,7040445,BAIE COMEAU CBA,31,,QUEBEC,58.5,QC,28,,49.217,2014-07-31 11:52:35,28,6.7,37.2
-68.15,49.21666666666667,QUÉBEC,23.3,,-68.150,0,,1966,5663.1966.8,,8,,25,15.6875,1966-08,0,8,,31,7040445,BAIE COMEAU CBA,31,,QUEBEC,161,QC,24,,49.217,2014-07-31 11:52:35,25,3.3,55.5
-68.15,49.21666666666667,QUÉBEC,26.1,,-68.150,0.4,,1966,5663.1966.9,,9,,30,11.193333333333333,1966-09,0,9,,30,7040445,BAIE COMEAU CBA,30,,QUEBEC,97.4,QC,30,,49.217,2014-07-31 11:52:35,30,1.1,204.6
-68.15,49.21666666666667,QUÉBEC,16.7,,-68.150,0,,1966,5663.1966.10,,6,,31,5.512903225806451,1966-10,3.8,10,,31,7040445,BAIE COMEAU CBA,31,,QUEBEC,85.9,QC,31,,49.217,2014-07-31 11:52:35,31,-7.8,387.1
-68.15,49.21666666666667,QUÉBEC,12.8,,-68.150,0,,1966,5663.1966.11,,18,,30,0.93,1966-11,31.7,11,,30,7040445,BAIE COMEAU CBA,30,,QUEBEC,174.3,QC,30,,49.217,2014-07-31 11:52:35,30,-10,512.1
-68.15,49.21666666666667,QUÉBEC,3.9,,-68.150,0,,1966,5663.1966.12,,12,,31,-7.54,1966-12,99.9,12,,31,7040445,BAIE COMEAU CBA,31,,QUEBEC,107.7,QC,30,,49.217,2014-07-31 11:52:35,30,-23.3,766.2
-70.5,47.416666666666664,QUÉBEC,5.6,,-70.500,0,,1963,5664.1963.1,-12.35,10,74,30,-11.32,1963-01,67.6,1,60.74,31,7040446,BAIE ST PAUL,31,,QUEBEC,67.6,QC,30,,47.417,2014-07-31 11:52:35,31,-28.3,879.6
-70.5,47.416666666666664,QUÉBEC,1.7,,-70.500,0,,1963,5664.1963.2,-9.97,6,64.83,28,-12.210714285714285,1963-02,41.7,2,48.72,28,7040446,BAIE ST PAUL,28,,QUEBEC,41.7,QC,28,,47.417,2014-07-31 11:52:35,28,-32.8,845.9
-70.5,47.416666666666664,QUÉBEC,8.9,,-70.500,0,,1963,5664.1963.3,-4.51,8,80.84,31,-5.841935483870968,1963-03,57.9,3,40.69,31,7040446,BAIE ST PAUL,31,,QUEBEC,61.2,QC,31,,47.417,2014-07-31 11:52:35,31,-20.6,739.1
-70.5,47.416666666666664,QUÉBEC,18.9,,-70.500,0,,1963,5664.1963.4,3.14,5,93.47,30,2.83,1963-04,0,4,14.3,30,7040446,BAIE ST PAUL,30,,QUEBEC,42.4,QC,30,,47.417,2014-07-31 11:52:35,30,-9.4,455.1
-70.5,47.416666666666664,QUÉBEC,26.7,,-70.500,0.1,,1963,5664.1963.5,10.12,4,98.09,31,9.87741935483871,1963-05,0,5,0.14,31,7040446,BAIE ST PAUL,31,,QUEBEC,67.8,QC,31,,47.417,2014-07-31 11:52:35,31,-2.8,251.9
-70.5,47.416666666666664,QUÉBEC,,,-70.500,,,1963,5664.1963.6,15.52,7,93.77,0,,1963-06,0,6,,30,7040446,BAIE ST PAUL,30,,QUEBEC,72.9,QC,0,,47.417,2014-07-31 11:52:35,0,,
-70.5,47.416666666666664,QUÉBEC,35.6,,-70.500,63.6,,1963,5664.1963.7,18.28,9,87.42,31,18.903225806451612,1963-07,0,7,,31,7040446,BAIE ST PAUL,31,,QUEBEC,92.6,QC,31,,47.417,2014-07-31 11:52:35,31,7.8,35.6
-70.5,47.416666666666664,QUÉBEC,,,-70.500,,,1963,5664.1963.8,17.27,13,83.44,0,,1963-08,0,8,,31,7040446,BAIE ST PAUL,31,,QUEBEC,126.6,QC,0,,47.417,2014-07-31 11:52:35,0,,
-70.5,47.416666666666664,QUÉBEC,,,-70.500,,,1963,5664.1963.9,12.5,5,79.54,0,,1963-09,0,9,,30,7040446,BAIE ST PAUL,30,,QUEBEC,88.1,QC,0,,47.417,2014-07-31 11:52:35,0,,
-70.5,47.416666666666664,QUÉBEC,,,-70.500,,,1963,5664.1963.10,6.39,4,79.07,0,,1963-10,0,10,1.68,31,7040446,BAIE ST PAUL,31,,QUEBEC,45.8,QC,0,,47.417,2014-07-31 11:52:35,0,,
-70.5,47.416666666666664,QUÉBEC,15.6,,-70.500,0,,1963,5664.1963.11,-0.36,,85.73,28,2.6392857142857142,1963-11,,11,26.17,0,7040446,BAIE ST PAUL,0,,QUEBEC,,QC,28,,47.417,2014-07-31 11:52:35,29,-9.4,430.1
-70.5,47.416666666666664,QUÉBEC,4.4,,-70.500,0,,1963,5664.1963.12,-7.62,2,75.26,24,-11.283333333333333,1963-12,26.7,12,64.03,31,7040446,BAIE ST PAUL,31,,QUEBEC,26.7,QC,24,,47.417,2014-07-31 11:52:35,31,-27.8,702.8
