"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19","COL20","COL21","COL22","COL23","COL24","COL25","COL26","COL27","COL28","COL29","COL30","COL31","COL32","COL33","COL34","COL35","COL36","COL37","COL38","COL39","COL40","COL41","COL42","COL43","COL44","COL45","COL46","COL47","COL48","COL49","COL50","COL51","COL52","COL53","COL54","COL55","COL56","COL57","COL58","COL59"
"N2V","N2V",38.00,4530.00,595.00,755.00,60.00,150.00,170.00,0.00,0.00,3.10,40000.00,44800.00,19325.00,11215.00,7165.00,940.00,19330.00,8310.00,4265.00,6750.00,6520.00,4235.00,1335.00,905.00,40.00,6280.00,5405.00,875.00,0.00,6280.00,500.00,5780.00,6280.00,45.00,380.00,1200.00,1145.00,1465.00,695.00,540.00,820.00,6225.00,5200.00,1025.00,875.00,0.00,37.00,10.30,2020.00,1904.00,5370.00,1705.00,2405.00,695.00,195.00,370.00,9680.00,9750.00
"N2Z","N2Z",46.80,4260.00,140.00,350.00,55.00,395.00,0.00,30.00,10.00,2.30,42000.00,48000.00,11885.00,10460.00,1370.00,55.00,11885.00,1500.00,1650.00,8735.00,780.00,475.00,245.00,55.00,0.00,5160.00,4155.00,1005.00,0.00,5160.00,430.00,4730.00,5160.00,970.00,1875.00,555.00,410.00,245.00,415.00,325.00,360.00,5010.00,4280.00,730.00,1000.00,18.50,32.30,14.40,1150.00,1146.00,3650.00,1590.00,1335.00,485.00,110.00,130.00,6045.00,6295.00
"N3A","N3A",41.60,4810.00,650.00,255.00,70.00,495.00,0.00,5.00,5.00,2.70,43600.00,49200.00,16715.00,14995.00,1720.00,0.00,16720.00,1810.00,2615.00,12285.00,875.00,405.00,255.00,205.00,0.00,6270.00,5315.00,955.00,0.00,6270.00,920.00,5355.00,6270.00,1220.00,1080.00,540.00,875.00,770.00,840.00,565.00,380.00,6135.00,5465.00,665.00,950.00,8.90,28.90,18.70,1100.00,1176.00,5910.00,1685.00,2640.00,1090.00,225.00,260.00,8415.00,8630.00
"N3B","N3B",38.40,3260.00,570.00,260.00,75.00,565.00,0.00,10.00,0.00,2.70,42000.00,47200.00,12755.00,11760.00,975.00,25.00,12760.00,1115.00,1490.00,10155.00,660.00,355.00,215.00,60.00,25.00,4720.00,3890.00,830.00,0.00,4720.00,175.00,4550.00,4720.00,1150.00,1360.00,375.00,325.00,355.00,510.00,175.00,475.00,4620.00,4070.00,550.00,825.00,14.50,30.90,24.10,1020.00,1112.00,5030.00,2240.00,1750.00,775.00,105.00,160.00,6435.00,6750.00
"N3C","N3C",38.80,6790.00,690.00,715.00,290.00,780.00,170.00,5.00,15.00,2.90,41200.00,46400.00,27415.00,21600.00,5570.00,250.00,27415.00,6030.00,6245.00,15135.00,4230.00,2055.00,1440.00,690.00,45.00,9475.00,7955.00,1525.00,0.00,9475.00,805.00,8675.00,9475.00,1390.00,1975.00,1650.00,1605.00,1075.00,1055.00,370.00,355.00,9450.00,7900.00,1550.00,1520.00,7.90,32.60,15.50,1500.00,1466.00,10255.00,3210.00,4025.00,1455.00,860.00,700.00,13740.00,13775.00
"N3E","N3E",30.80,470.00,5.00,255.00,35.00,30.00,0.00,0.00,0.00,3.50,38400.00,42000.00,2725.00,1425.00,1165.00,130.00,2720.00,1310.00,695.00,720.00,1130.00,665.00,335.00,115.00,15.00,780.00,495.00,280.00,0.00,780.00,185.00,600.00,780.00,10.00,10.00,35.00,25.00,20.00,0.00,0.00,670.00,775.00,520.00,260.00,285.00,0.00,42.10,0.00,2480.00,2460.00,950.00,280.00,345.00,140.00,70.00,115.00,1415.00,1390.00
"N3H","N3H",40.80,5000.00,545.00,1090.00,260.00,1950.00,805.00,100.00,0.00,2.50,34400.00,37600.00,23860.00,18545.00,4415.00,895.00,23860.00,5525.00,4555.00,13780.00,3230.00,1600.00,1105.00,490.00,40.00,9725.00,6020.00,3705.00,0.00,9725.00,840.00,8890.00,9725.00,3290.00,2970.00,945.00,875.00,500.00,195.00,340.00,625.00,9705.00,7335.00,2370.00,3705.00,16.50,37.20,23.80,1110.00,1248.00,9005.00,3560.00,2950.00,1260.00,565.00,670.00,12130.00,12175.00
"N3L","N3L",42.00,4305.00,860.00,635.00,90.00,550.00,70.00,15.00,0.00,2.60,39200.00,44000.00,17255.00,15135.00,2035.00,85.00,17255.00,2185.00,3240.00,11830.00,1400.00,665.00,515.00,215.00,0.00,6550.00,5465.00,1085.00,0.00,6550.00,600.00,5955.00,6550.00,1950.00,1110.00,450.00,625.00,670.00,360.00,320.00,1055.00,6460.00,5450.00,1015.00,1075.00,12.10,37.20,16.60,1250.00,1376.00,6685.00,1975.00,2260.00,1370.00,515.00,565.00,8605.00,9075.00
"N3P","N3P",39.60,1915.00,465.00,290.00,5.00,5.00,485.00,0.00,0.00,2.70,35600.00,38800.00,8690.00,7260.00,1380.00,50.00,8690.00,1490.00,1600.00,5605.00,905.00,360.00,360.00,180.00,0.00,3215.00,2415.00,800.00,0.00,3215.00,300.00,2915.00,3215.00,90.00,1070.00,1350.00,640.00,35.00,10.00,10.00,0.00,3215.00,2715.00,505.00,800.00,16.90,35.00,22.20,1230.00,1226.00,3395.00,1315.00,985.00,670.00,220.00,205.00,4145.00,4395.00
"N3R","N3R",45.60,9540.00,540.00,1580.00,250.00,1125.00,1670.00,15.00,5.00,2.40,35600.00,39600.00,35585.00,30795.00,4650.00,145.00,35585.00,5085.00,6870.00,23630.00,2305.00,915.00,985.00,365.00,35.00,14730.00,10390.00,4340.00,0.00,14730.00,1350.00,13375.00,14730.00,4010.00,6480.00,1635.00,1365.00,510.00,230.00,170.00,330.00,14670.00,11680.00,2995.00,4340.00,10.30,40.80,21.70,1210.00,1235.00,12990.00,6215.00,3140.00,2140.00,830.00,665.00,17320.00,18540.00
"N3S","N3S",39.20,6435.00,475.00,1255.00,875.00,1785.00,640.00,30.00,0.00,2.40,31400.00,34000.00,27235.00,23050.00,3860.00,330.00,27235.00,4335.00,4540.00,18360.00,2760.00,930.00,1280.00,530.00,20.00,11500.00,7060.00,4435.00,0.00,11500.00,1210.00,10290.00,11500.00,5940.00,2805.00,565.00,635.00,235.00,555.00,455.00,310.00,11465.00,8665.00,2805.00,4435.00,15.20,37.50,28.10,1030.00,1100.00,10295.00,4225.00,2765.00,1695.00,815.00,795.00,13660.00,13865.00
"N3T","N3T",38.80,9035.00,390.00,845.00,460.00,1450.00,1680.00,35.00,15.00,2.60,34800.00,38000.00,36550.00,29120.00,6655.00,770.00,36545.00,7765.00,7235.00,21550.00,5215.00,2295.00,2075.00,790.00,50.00,13875.00,9200.00,4670.00,0.00,13875.00,1020.00,12855.00,13875.00,4515.00,2255.00,905.00,1030.00,1345.00,1240.00,1140.00,1445.00,13720.00,10455.00,3265.00,4665.00,18.50,39.70,24.10,1120.00,1226.00,13320.00,4480.00,4145.00,2160.00,1270.00,1270.00,18465.00,18945.00
"N3V","N3V",44.80,460.00,95.00,0.00,10.00,5.00,0.00,0.00,0.00,2.80,39600.00,44800.00,1515.00,1310.00,205.00,0.00,1520.00,225.00,270.00,1025.00,100.00,70.00,30.00,0.00,0.00,565.00,510.00,50.00,0.00,565.00,0.00,565.00,565.00,15.00,195.00,170.00,165.00,15.00,0.00,0.00,0.00,565.00,495.00,70.00,55.00,0.00,27.30,0.00,1660.00,1600.00,620.00,290.00,150.00,95.00,35.00,45.00,775.00,785.00
"N3W","N3W",38.40,4710.00,220.00,205.00,65.00,325.00,50.00,5.00,0.00,2.80,41600.00,46800.00,15665.00,13610.00,1985.00,75.00,15665.00,2175.00,3240.00,10250.00,1290.00,570.00,445.00,230.00,45.00,5595.00,4860.00,735.00,0.00,5595.00,245.00,5345.00,5595.00,980.00,1250.00,860.00,1130.00,355.00,160.00,65.00,795.00,5485.00,4565.00,915.00,730.00,4.80,38.90,11.30,1330.00,1444.00,6320.00,1400.00,1595.00,2085.00,655.00,580.00,7855.00,7950.00
"N3Y","N3Y",49.20,7275.00,395.00,415.00,380.00,1015.00,385.00,50.00,10.00,2.30,34400.00,38000.00,22830.00,20315.00,2395.00,120.00,22830.00,2705.00,4195.00,15930.00,1235.00,560.00,545.00,120.00,10.00,9915.00,7465.00,2445.00,0.00,9915.00,660.00,9260.00,9915.00,3655.00,2890.00,1015.00,670.00,360.00,370.00,355.00,600.00,9735.00,7950.00,1785.00,2440.00,17.60,39.60,22.00,940.00,1039.00,8080.00,3635.00,2055.00,1175.00,530.00,690.00,11350.00,12050.00
