"COL0","COL1","COL2"
"H2B","H2B",18049.00
"H2C","H2C",17976.00
"H2E","H2E",23507.00
"H2G","H2G",22115.00
"H2H","H2H",14728.00
"H2J","H2J",27028.00
"H2K","H2K",29084.00
"H2L","H2L",27057.00
"H2M","H2M",18468.00
"H2N","H2N",6442.00
"H2P","H2P",14388.00
"H2R","H2R",22987.00
"H2S","H2S",27217.00
"H2T","H2T",16297.00
"H2V","H2V",31998.00
"H2W","H2W",11508.00
"H2X","H2X",21548.00
"H2Y","H2Y",3727.00
"H2Z","H2Z",3757.00
"H3A","H3A",4360.00
"H3B","H3B",1900.00
"H3C","H3C",18583.00
"H3E","H3E",21565.00
"H3G","H3G",11424.00
"H3H","H3H",20690.00
"H3J","H3J",11915.00
"H3K","H3K",15275.00
"H3L","H3L",20996.00
"H3M","H3M",15840.00
"H3N","H3N",29080.00
"H3P","H3P",10172.00
"H3R","H3R",10108.00
"H3S","H3S",33618.00
"H3T","H3T",13009.00
"H3V","H3V",6732.00
"H3W","H3W",30766.00
"H3X","H3X",24214.00
"H3Y","H3Y",9564.00
"H3Z","H3Z",11544.00
"H4A","H4A",26362.00
"H4B","H4B",20937.00
"H4C","H4C",17301.00
"H4E","H4E",30154.00
"H4G","H4G",29860.00
"H4H","H4H",18936.00
"H4J","H4J",18075.00
"H4K","H4K",11319.00
"H4L","H4L",36216.00
"H4M","H4M",12466.00
"H4N","H4N",30199.00
"H4P","H4P",9106.00
"H4R","H4R",31132.00
"H4S","H4S",567.00
"H4T","H4T",0.00
"H4V","H4V",20701.00
"H4W","H4W",26359.00
"H4X","H4X",6467.00
"H7A","H7A",21639.00
"H7B","H7B",2957.00
"H7C","H7C",8816.00
"H7E","H7E",26590.00
"H7G","H7G",22054.00
"H7H","H7H",13865.00
"H7J","H7J",2161.00
"H7K","H7K",22475.00
"H7L","H7L",37893.00
"H7M","H7M",27729.00
"H7N","H7N",44641.00
"H7P","H7P",37456.00
"H7R","H7R",31001.00
"H7S","H7S",7752.00
"H7T","H7T",28213.00
"H7V","H7V",23242.00
"H7W","H7W",42580.00
"H7X","H7X",27332.00
"H7Y","H7Y",9978.00
"H8N","H8N",33207.00
"H8P","H8P",22980.00
"H8R","H8R",31491.00
"H8S","H8S",25686.00
"H8T","H8T",15270.00
"H8Y","H8Y",19915.00
"H8Z","H8Z",15127.00
"H9A","H9A",15267.00
"H9B","H9B",21104.00
"H9C","H9C",11725.00
"H9E","H9E",3190.00
"H9G","H9G",15346.00
"H9H","H9H",25097.00
"H9J","H9J",21393.00
"H9K","H9K",8898.00
"H9P","H9P",3836.00
"H9R","H9R",26002.00
"H9S","H9S",22984.00
"H9W","H9W",19277.00
"H9X","H9X",9744.00
"J0A","J0A",19149.00
"J0B","J0B",65700.00
"J0C","J0C",23445.00
"J0E","J0E",51896.00
"J0G","J0G",18624.00
"J0H","J0H",52946.00
"J0J","J0J",42141.00
"J0K","J0K",149238.00
"J0L","J0L",83316.00
"J0M","J0M",25104.00
"J0N","J0N",52112.00
"J0P","J0P",42965.00
"J0R","J0R",39041.00
"J0S","J0S",34124.00
"J0T","J0T",51466.00
"J0V","J0V",27294.00
"J0W","J0W",16608.00
"J0X","J0X",48487.00
"J0Y","J0Y",29035.00
"J0Z","J0Z",34456.00
"J1A","J1A",9132.00
"J1C","J1C",6841.00
"J1E","J1E",25866.00
"J1G","J1G",19632.00
"J1H","J1H",29653.00
"J1J","J1J",15452.00
"J1K","J1K",7435.00
"J1L","J1L",16036.00
"J1M","J1M",5923.00
"J1N","J1N",35087.00
"J1R","J1R",10960.00
"J1S","J1S",7862.00
"J1T","J1T",7993.00
"J1X","J1X",33945.00
"J1Z","J1Z",5742.00
"J2A","J2A",12264.00
"J2B","J2B",33110.00
"J2C","J2C",29991.00
"J2E","J2E",4454.00
"J2G","J2G",28297.00
"J2H","J2H",22474.00
"J2J","J2J",18341.00
"J2K","J2K",18291.00
"J2L","J2L",11381.00
"J2M","J2M",7238.00
"J2N","J2N",10149.00
"J2R","J2R",10383.00
"J2S","J2S",29943.00
"J2T","J2T",17072.00
"J2W","J2W",28762.00
"J2X","J2X",20485.00
"J2Y","J2Y",5576.00
"J3A","J3A",9136.00
"J3B","J3B",33908.00
"J3E","J3E",30045.00
"J3G","J3G",33664.00
"J3H","J3H",26673.00
"J3L","J3L",53680.00
"J3M","J3M",11345.00
"J3N","J3N",17053.00
"J3P","J3P",25025.00
"J3R","J3R",14452.00
"J3T","J3T",8620.00
"J3V","J3V",26050.00
"J3X","J3X",21198.00
"J3Y","J3Y",66364.00
"J3Z","J3Z",5774.00
"J4B","J4B",41743.00
"J4G","J4G",10010.00
"J4H","J4H",15593.00
"J4J","J4J",31102.00
"J4K","J4K",27024.00
"J4L","J4L",31866.00
"J4M","J4M",13149.00
"J4N","J4N",11382.00
"J4P","J4P",11249.00
"J4R","J4R",10674.00
"J4S","J4S",6303.00
"J4T","J4T",19718.00
"J4V","J4V",17033.00
"J4W","J4W",18191.00
"J4X","J4X",19192.00
"J4Y","J4Y",25459.00
"J4Z","J4Z",28686.00
"J5A","J5A",29922.00
"J5B","J5B",8319.00
"J5C","J5C",17347.00
"J5J","J5J",18080.00
"J5K","J5K",17740.00
"J5L","J5L",22965.00
"J5M","J5M",24005.00
"J5N","J5N",169.00
"J5R","J5R",49403.00
"J5T","J5T",14425.00
"J5V","J5V",7340.00
"J5W","J5W",26780.00
"J5X","J5X",8892.00
"J5Y","J5Y",30084.00
"J5Z","J5Z",28005.00
"J6A","J6A",34313.00
"J6E","J6E",46434.00
"J6J","J6J",24855.00
"J6K","J6K",25960.00
"J6N","J6N",16014.00
"J6R","J6R",14626.00
"J6S","J6S",24765.00
"J6T","J6T",18022.00
"J6V","J6V",14621.00
"J6W","J6W",32422.00
"J6X","J6X",25257.00
"J6Y","J6Y",22926.00
"J6Z","J6Z",19627.00
"J7A","J7A",14187.00
"J7B","J7B",13068.00
"J7C","J7C",46679.00
"J7E","J7E",29356.00
"J7G","J7G",17310.00
"J7H","J7H",8185.00
"J7J","J7J",27644.00
"J7K","J7K",36960.00
"J7L","J7L",14223.00
"J7M","J7M",24708.00
"J7N","J7N",33449.00
"J7P","J7P",25226.00
"J7R","J7R",37992.00
"J7T","J7T",29584.00
"J7V","J7V",69657.00
"J7W","J7W",14751.00
"J7X","J7X",5643.00
"J7Y","J7Y",27006.00
"J7Z","J7Z",30230.00
"J8A","J8A",10669.00
"J8B","J8B",14012.00
"J8C","J8C",11667.00
"J8E","J8E",11046.00
"J8G","J8G",8209.00
"J8H","J8H",15142.00
"J8L","J8L",20056.00
"J8M","J8M",13157.00
"J8N","J8N",13833.00
"J8P","J8P",35320.00
"J8R","J8R",28947.00
"J8T","J8T",37832.00
"J8V","J8V",27274.00
"J8X","J8X",11782.00
"J8Y","J8Y",23803.00
"J8Z","J8Z",14814.00
"J9A","J9A",22508.00
"J9B","J9B",7999.00
"J9E","J9E",7664.00
"J9H","J9H",32921.00
"J9J","J9J",41342.00
"J9L","J9L",14164.00
"J9P","J9P",33008.00
"J9T","J9T",13221.00
"J9V","J9V",3409.00
"J9X","J9X",22993.00
"J9Y","J9Y",10755.00
"J9Z","J9Z",7411.00
"K0A","K0A",111626.00
"K0B","K0B",21020.00
"K0C","K0C",52838.00
"K0E","K0E",39649.00
"K0G","K0G",39862.00
"K0H","K0H",47286.00
"K0J","K0J",34322.00
"K0K","K0K",115850.00
"K0L","K0L",78142.00
"K0M","K0M",53815.00
"K1A","K1A",594.00
"K1B","K1B",17769.00
"K1C","K1C",37235.00
"K1E","K1E",14508.00
"K1G","K1G",35074.00
"K1H","K1H",16306.00
"K1J","K1J",28268.00
"K1K","K1K",32046.00
"K1L","K1L",18213.00
"K1M","K1M",6764.00
"K1N","K1N",26639.00
"K1P","K1P",645.00
"K1R","K1R",20343.00
"K1S","K1S",31257.00
"K1T","K1T",40054.00
"K1V","K1V",57157.00
"K1W","K1W",13825.00
"K1X","K1X",4594.00
"K1Y","K1Y",20712.00
"K1Z","K1Z",22714.00
"K2A","K2A",17156.00
"K2B","K2B",33254.00
"K2C","K2C",29359.00
"K2E","K2E",20172.00
"K2G","K2G",50692.00
"K2H","K2H",26759.00
"K2J","K2J",81863.00
"K2K","K2K",24922.00
"K2L","K2L",18739.00
"K2M","K2M",28708.00
"K2P","K2P",18825.00
"K2R","K2R",1237.00
"K2S","K2S",38903.00
"K2T","K2T",11871.00
"K2V","K2V",10486.00
"K2W","K2W",8553.00
"K4A","K4A",62125.00
"K4B","K4B",4704.00
"K4C","K4C",4538.00
"K4K","K4K",16958.00
"K4M","K4M",14380.00
"K4P","K4P",10448.00
"K4R","K4R",8740.00
"K6A","K6A",12529.00
"K6H","K6H",30440.00
"K6J","K6J",17827.00
"K6K","K6K",3452.00
"K6T","K6T",690.00
"K6V","K6V",28174.00
"K7A","K7A",17575.00
"K7C","K7C",20382.00
"K7G","K7G",8740.00
"K7H","K7H",16175.00
"K7K","K7K",33705.00
"K7L","K7L",19621.00
"K7M","K7M",49268.00
"K7N","K7N",8395.00
"K7P","K7P",24660.00
"K7R","K7R",15480.00
"K7S","K7S",14265.00
"K7V","K7V",13943.00
"K8A","K8A",26392.00
"K8B","K8B",490.00
"K8H","K8H",16188.00
"K8N","K8N",30393.00
"K8P","K8P",23166.00
"K8R","K8R",2012.00
"K8V","K8V",28936.00
"K9A","K9A",26757.00
"K9H","K9H",29704.00
"K9J","K9J",44547.00
"K9K","K9K",13359.00
"K9L","K9L",7813.00
"K9V","K9V",29369.00
"L0A","L0A",15325.00
"L0B","L0B",15501.00
"L0C","L0C",9486.00
"L0E","L0E",21898.00
"L0G","L0G",44945.00
"L0H","L0H",1223.00
"L0J","L0J",4945.00
"L0K","L0K",38386.00
"L0L","L0L",42022.00
"L0M","L0M",37226.00
"L0N","L0N",2395.00
"L0P","L0P",7779.00
"L0R","L0R",83602.00
"L0S","L0S",60409.00
"L1A","L1A",15845.00
"L1B","L1B",13203.00
"L1C","L1C",50217.00
"L1E","L1E",28325.00
"L1G","L1G",43497.00
"L1H","L1H",32298.00
"L1J","L1J",43107.00
"L1K","L1K",43574.00
"L1L","L1L",12976.00
"L1M","L1M",22542.00
"L1N","L1N",49649.00
"L1P","L1P",22928.00
"L1R","L1R",42221.00
"L1S","L1S",42045.00
"L1T","L1T",52632.00
"L1V","L1V",52787.00
"L1W","L1W",18433.00
"L1X","L1X",24639.00
"L1Y","L1Y",1976.00
"L1Z","L1Z",31989.00
"L2A","L2A",17293.00
"L2E","L2E",18587.00
"L2G","L2G",30344.00
"L2H","L2H",29820.00
"L2J","L2J",14908.00
"L2M","L2M",33704.00
"L2N","L2N",30719.00
"L2P","L2P",15128.00
"L2R","L2R",25558.00
"L2S","L2S",19400.00
"L2T","L2T",11401.00
"L2V","L2V",19795.00
"L2W","L2W",1959.00
"L3B","L3B",25869.00
"L3C","L3C",33462.00
"L3K","L3K",19458.00
"L3L","L3L",879.00
"L3M","L3M",28433.00
"L3P","L3P",37336.00
"L3R","L3R",62060.00
"L3S","L3S",55403.00
"L3T","L3T",50405.00
"L3V","L3V",48651.00
"L3X","L3X",45284.00
"L3Y","L3Y",43556.00
"L3Z","L3Z",41072.00
"L4A","L4A",50389.00
"L4B","L4B",36080.00
"L4C","L4C",74636.00
"L4E","L4E",54606.00
"L4G","L4G",62061.00
"L4H","L4H",77353.00
"L4J","L4J",75120.00
"L4K","L4K",20172.00
"L4L","L4L",55426.00
"L4M","L4M",46902.00
"L4N","L4N",100835.00
"L4P","L4P",29861.00
"L4R","L4R",19245.00
"L4S","L4S",36688.00
"L4T","L4T",38182.00
"L4V","L4V",5.00
"L4W","L4W",19744.00
"L4X","L4X",18719.00
"L4Y","L4Y",23490.00
"L4Z","L4Z",37218.00
"L5A","L5A",47406.00
"L5B","L5B",67131.00
"L5C","L5C",29284.00
"L5E","L5E",12972.00
"L5G","L5G",20714.00
"L5H","L5H",17409.00
"L5J","L5J",28208.00
"L5K","L5K",13363.00
"L5L","L5L",43585.00
"L5M","L5M",106468.00
"L5N","L5N",83700.00
"L5R","L5R",37022.00
"L5S","L5S",27.00
"L5T","L5T",19.00
"L5V","L5V",49149.00
"L5W","L5W",24145.00
"L6A","L6A",89287.00
"L6B","L6B",34763.00
"L6C","L6C",51738.00
"L6E","L6E",38387.00
"L6G","L6G",8364.00
"L6H","L6H",72662.00
"L6J","L6J",24420.00
"L6K","L6K",14118.00
"L6L","L6L",30012.00
"L6M","L6M",72547.00
"L6P","L6P",91155.00
"L6R","L6R",93783.00
"L6S","L6S",54361.00
"L6T","L6T",39614.00
"L6V","L6V",42392.00
"L6W","L6W",23547.00
"L6X","L6X",76113.00
"L6Y","L6Y",97601.00
"L6Z","L6Z",33888.00
"L7A","L7A",104009.00
"L7B","L7B",17809.00
"L7C","L7C",33846.00
"L7E","L7E",34516.00
"L7G","L7G",48051.00
"L7J","L7J",13766.00
"L7K","L7K",8486.00
"L7L","L7L",47433.00
"L7M","L7M",48498.00
"L7N","L7N",13160.00
"L7P","L7P",29777.00
"L7R","L7R",17338.00
"L7S","L7S",12207.00
"L7T","L7T",18555.00
"L8B","L8B",25778.00
"L8E","L8E",41927.00
"L8G","L8G",21805.00
"L8H","L8H",26187.00
"L8J","L8J",29146.00
"L8K","L8K",32598.00
"L8L","L8L",32312.00
"L8M","L8M",13774.00
"L8N","L8N",15568.00
"L8P","L8P",24773.00
"L8R","L8R",11651.00
"L8S","L8S",15787.00
"L8T","L8T",19405.00
"L8V","L8V",21165.00
"L8W","L8W",26077.00
"L9A","L9A",25899.00
"L9B","L9B",25025.00
"L9C","L9C",41202.00
"L9E","L9E",16933.00
"L9G","L9G",25020.00
"L9H","L9H",31221.00
"L9J","L9J",2272.00
"L9K","L9K",15928.00
"L9L","L9L",14620.00
"L9M","L9M",16607.00
"L9N","L9N",21656.00
"L9P","L9P",17383.00
"L9R","L9R",25949.00
"L9S","L9S",33434.00
"L9T","L9T",110956.00
"L9V","L9V",17750.00
"L9W","L9W",48790.00
"L9X","L9X",12896.00
"L9Y","L9Y",28925.00
"L9Z","L9Z",24849.00
"M1B","M1B",65555.00
"M1C","M1C",35642.00
"M1E","M1E",48033.00
"M1G","M1G",30894.00
"M1H","M1H",23964.00
"M1J","M1J",37002.00
"M1K","M1K",48175.00
"M1L","M1L",35833.00
"M1M","M1M",23258.00
"M1N","M1N",22976.00
"M1P","M1P",45170.00
"M1R","M1R",30467.00
"M1S","M1S",37663.00
"M1T","M1T",34607.00
"M1V","M1V",50825.00
"M1W","M1W",47070.00
"M1X","M1X",14810.00
"M2H","M2H",23396.00
"M2J","M2J",61761.00
"M2K","M2K",25377.00
"M2L","M2L",11274.00
"M2M","M2M",31915.00
"M2N","M2N",75100.00
"M2P","M2P",7546.00
"M2R","M2R",40581.00
"M3A","M3A",34361.00
"M3B","M3B",12880.00
"M3C","M3C",39616.00
"M3H","M3H",38416.00
"M3J","M3J",26600.00
"M3K","M3K",7865.00
"M3L","M3L",19263.00
"M3M","M3M",24906.00
"M3N","M3N",40846.00
"M4A","M4A",14589.00
"M4B","M4B",18612.00
"M4C","M4C",46440.00
"M4E","M4E",25473.00
